FUENTE_ARCHIVO,ACTIVIDAD,CODIGO_LLAVE,CODIGO_ANTERIOR,CODIGO_SISTEMA_LIMPIO,MUNICIPIO,MUNICIPIO_NORM,LOCALIDADES_ABASTECIDAS,LOCALIDAD_NORM,NOMBRE_SISTEMA,NOMBRE_SISTEMA_NORM,PERSONA_PRESTADORA,ARO,NOMBRE_ARO,ARO_NORM,FUNCIONARIO,FEC_VISITA,FECHA_ACTIVIDAD,FECHA CARGUE,FECHA_CARGUE_DT,ACTA,CONSECUTIVO VISITA,ESTADO,OBSERVACION,CODIGO_SISA_ORIGINAL,CODIGO_PROGRAMADO_CRUCE,TIPO_CRUCE_MPR,PUNTAJE_CRUCE_MPR,Código,Actividad,Actividad_Resumen,PROGRAMADO,CODIGO_PROGRAMADO_ORIGINAL,FUNCIONARIO_PROGRAMADO,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,COINCIDE_FUNCIONARIO_PROGRAMADO
1.3_VisitasMPR.csv,1.3,113622,,11052,CAICEDONIA,CAICEDONIA, SAN GERARDO,SAN GERARDO,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,22/04/2026,2026-04-22,2026-05-19,2026-05-19,WAC22042026,136,ABIERTO,,11052,113622,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,113622,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,CAICEDONIA,SAN GERARDO,SI
1.3_VisitasMPR.csv,1.3,60116,,1116,BOLÍVAR,BOLIVAR,LA TULIA,LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,4/04/2026,2026-04-04,2026-04-22,2026-04-22,DM-0404226-2,102,ABIERTO,,1116,60116,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,60116,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA TULIA,SI
1.3_VisitasMPR.csv,1.3,58644,,1124,SAN PEDRO,SAN PEDRO, MONTERREDONDO,MONTERREDONDO,ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP,ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP,ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,22/04/2026,2026-04-22,2026-05-06,2026-05-06,VP22042026-01,130,ABIERTO,,1124,58644,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,58644,VALERIA PATIÑO HERNANDEZ,TULUA,SAN PEDRO,MONTERREDONDO,SI
1.3_VisitasMPR.csv,1.3,15506,,1282,VERSALLES,VERSALLES,VEREDA LA BALSORA,VEREDA LA BALSORA,JUNTA ADMINISTRADORA DEL ACUEDUCTO LA BALSORA,JUNTA ADMINISTRADORA DEL ACUEDUCTO LA BALSORA,JUNTA ADMINISTRADORA ACUEDUCTO RURAL VEREDA LA BALSORA           ,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,8/04/2026,2026-04-08,2026-04-13,2026-04-13,AMM080426,91,ABIERTO,,1282,15506,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,15506,ANA MILENA MENDEZ ARANA,CARTAGO,VERSALLES,LA BALSORA,SI
1.3_VisitasMPR.csv,1.3,111988,,12872,BOLÍVAR,BOLIVAR,EL BOSQUE,EL BOSQUE,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,24/04/2026,2026-04-24,2026-04-29,2026-04-29,DM-24042026,118,ABIERTO,,12872,111988,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,111988,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,EL BOSQUE,SI
1.3_VisitasMPR.csv,1.3,64871,,13246,ANDALUCÍA,ANDALUCIA, PARDO ALTO,PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,6/04/2026,2026-04-06,2026-04-23,2026-04-23,W060426,111,ABIERTO,,13246,64871,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,64871,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,ANDALUCIA,PARDO ALTO,SI
1.3_VisitasMPR.csv,1.3,151783,,13517,YOTOCO,YOTOCO,BUENOS AIRES ,BUENOS AIRES,ACUEDUCTO RURAL EL SOBACO ,ACUEDUCTO RURAL EL SOBACO,ACUEDUCTO RURAL EL SOBACO ,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,7/04/2026,2026-04-07,2026-04-22,2026-04-22,VPH07042026,110,ABIERTO,,13517,151783,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,151783,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,EL SOBACO,SI
1.3_VisitasMPR.csv,1.3,28230,,13730,DAGUA,DAGUA,KM 28 AMBICHINTE,KM 28 AMBICHINTE,ECASP. ESP. - KM 28 AMBICHINTE,ECASP. ESP. - KM 28 AMBICHINTE,ASOCIACION EMPRESA COMUNITARIA ACUEDUCTO BORRERO AYERBE - ECASP. ESP. - KM 28 AMBICHINTE,3,Aro Sur Cali,ARO SUR CALI,DIEGO FERNANDO HOYOS TABORDA,27/04/2026,2026-04-27,2026-04-28,2026-04-28,MPRBAKM26,116,ABIERTO,,13730,28230,TEXTO,0.75,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,28230,DIEGO FERNANDO HOYOS TABORDA,CALI,DAGUA,BORRERO AYERBE (KM 26),SI
1.3_VisitasMPR.csv,1.3,59620,,1391,GUACARÍ,GUACARI,"PUNTE ROJO, LA REUBICACION, SECTOR EL ALTO, VEREDA BELLO HORIZONTE, BARRIO LA CRISTALINA  I y II","PUNTE ROJO, LA REUBICACION, SECTOR EL ALTO, VEREDA BELLO HORIZONTE, BARRIO LA CRISTALINA I Y II",ACUAPUERO,ACUAPUERO,ASOCIACION ADMINISTRADORA DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO DE PUENTE ROJO ACUASALUD PUENTE ROJO - ACUAPUERO,3,Aro Sur Cali,ARO SUR CALI,LAURA SOFIA LOPEZ CUNDUMI,20/03/2026,2026-03-20,2026-03-31,2026-03-31,MPRPR,89,ABIERTO,,1391,59620,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,59620,LAURA SOFIA LOPEZ CUNDUMI,CALI,GUACARI,PUENTE ROJO,SI
1.3_VisitasMPR.csv,1.3,34209,,1396,EL CERRITO,EL CERRITO,,,,,ACUEDUCTO COMUNITARIO CARRIZAL,3,Aro Sur Cali,ARO SUR CALI,LAURA SOFIA LOPEZ CUNDUMI,15/04/2026,2026-04-15,2026-04-28,2026-04-28,MPRCARR2026,114,ABIERTO,,1396,34209,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,34209,LAURA SOFIA LOPEZ CUNDUMI,CALI,EL CERRITO,EL CARRIZAL,SI
1.3_VisitasMPR.csv,1.3,124804,,1426,BUGALAGRANDE,BUGALAGRANDE,EL PORVENIR,EL PORVENIR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR - EL PORVENIR,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,21/04/2026,2026-04-21,2026-05-19,2026-05-19,WAC210426,134,ABIERTO,,1426,124804,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,124804,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,BUGALAGRANDE,EL PORVENIR,SI
1.3_VisitasMPR.csv,1.3,61928,,181,RIOFRIO,RIOFRIO,VEREDA CALABAZAS                                                                            ,VEREDA CALABAZAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS                                                                                  ,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,25/04/2026,2026-04-25,2026-04-29,2026-04-29,DM25042026,124,ABIERTO,,181,61928,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,61928,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,RIOFRIO,CALABAZAS,SI
1.3_VisitasMPR.csv,1.3,122659,,18517,ZARZAL,ZARZAL,GUASIMAL BAJO - GUASIMAL ALTO- ALIZAL,GUASIMAL BAJO - GUASIMAL ALTO- ALIZAL,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,4/04/2026,2026-04-04,2026-04-22,2026-04-22,DM-040426-1,108,ABIERTO,,18517,122659,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,122659,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,ZARZAL,GUASIMAL ALIZAL,SI
1.3_VisitasMPR.csv,1.3,14638,,1919,OBANDO,OBANDO,CORREGIMIENTO VILLA RODAS,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #2,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #2,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 2,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,1/04/2026,2026-04-01,2026-04-16,2026-04-16,SHIR01042026-2,99,ABIERTO,,1919,14638,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,14638,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,OBANDO,VILLA RODAS 2,SI
1.3_VisitasMPR.csv,1.3,14638,,1922,OBANDO,OBANDO,CORREGIMIENTO VILLA RODAS,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #1,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #1,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 1,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,1/04/2026,2026-04-01,2026-04-16,2026-04-16,SHIR01042026,98,ABIERTO,,1922,14638,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,14638,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,OBANDO,VILLA RODAS 2,SI
1.3_VisitasMPR.csv,1.3,116231,,2064,RESTREPO,RESTREPO,LA ESPERANZA,LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,16/04/2026,2026-04-16,2026-04-22,2026-04-22,VP-16042026,109,ABIERTO,,2064,116231,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,116231,VALERIA PATIÑO HERNANDEZ,TULUA,RESTREPO,ALTO DEL OSO LA ESPERANZA,SI
1.3_VisitasMPR.csv,1.3,80702,,2147,ANSERMANUEVO,ANSERMANUEVO,LA CABAÑA,LA CABANA,ACUEDUCTO LA CABAÑA,ACUEDUCTO LA CABANA,ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,4/04/2026,2026-04-04,2026-04-16,2026-04-16,SHIR04042026,95,ABIERTO,,2147,80702,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,80702,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,ANSERMANUEVO,LA CABAÑA.,SI
1.3_VisitasMPR.csv,1.3,127559,,2150,CAICEDONIA,CAICEDONIA,EL SALADO,EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,15/04/2026,2026-04-15,2026-05-19,2026-05-19,WAC15042026,135,ABIERTO,,2150,127559,TEXTO,1.0,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,127559,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,CAICEDONIA,EL SALADO,SI
